Date : 2023-02-09 14:58:57
Directory : e:\marketplace
Total : 118 files,  25299 codes, 408 comments, 396 blanks, all 26103 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     21,671 |          0 |          5 |     21,676 |
| JavaScript React   |         40 |      2,180 |        190 |        170 |      2,540 |
| JavaScript         |         36 |        991 |        201 |        148 |      1,340 |
| XML                |         22 |        142 |          3 |         17 |        162 |
| PostCSS            |          3 |        130 |          3 |         20 |        153 |
| TypeScript React   |          3 |         75 |          5 |         11 |         91 |
| TypeScript         |          4 |         53 |          6 |         15 |         74 |
| JSON with Comments |          2 |         23 |          0 |          2 |         25 |
| SCSS               |          2 |         21 |          0 |          3 |         24 |
| Markdown           |          1 |         13 |          0 |          5 |         18 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        118 |     25,299 |        408 |        396 |     26,103 |
| . (Files)                                                                   |         12 |     16,017 |          2 |         21 |     16,040 |
| assets                                                                      |          1 |         36 |          0 |          4 |         40 |
| assets\styles                                                               |          1 |         36 |          0 |          4 |         40 |
| components                                                                  |         44 |      1,852 |        175 |        186 |      2,213 |
| components (Files)                                                          |          2 |         47 |          0 |          6 |         53 |
| components\Auction                                                          |          1 |         30 |          0 |          3 |         33 |
| components\BidEditor                                                        |          1 |         92 |        171 |         12 |        275 |
| components\Discover                                                         |          1 |        131 |          0 |          8 |        139 |
| components\Dragger                                                          |          1 |         86 |          0 |          8 |         94 |
| components\Earn                                                             |          1 |         32 |          0 |          2 |         34 |
| components\Footer                                                           |          1 |         71 |          0 |          2 |         73 |
| components\Header                                                           |          2 |         89 |          0 |          6 |         95 |
| components\Hero                                                             |          1 |         14 |          0 |          2 |         16 |
| components\HotCollections                                                   |          1 |         44 |          0 |          2 |         46 |
